id,timestamp,title,content,source_type,prediction,credibility_score,fake_prob,real_prob,red_flags,is_deleted
0c9fd40e,2026-05-10 19:57:00,Pakistan confirms Iran’s response to US proposal to end war,"Pakistan confirms Iran’s response to US proposal to end war Prime Minister Shehbaz Sharif said that he was briefed about receiving Iran's response to the US proposal to end the war.

“Right now, the Field Marshal [Asim Munir] informed me that [we have] received Iran’s response. I cannot go further into details,” the prime minister told the audience at an event to mark Marka-e-Haq in Islamabad.

He also highlighted Pakistan’s mediation role, noting that US and Iran were brought to the negotiating",text,REAL,77.37,22.63,77.37,[],True
c5731d5e,2026-05-10 20:02:48,Pakistan confirms Iran’s response to US proposal to end war,"Pakistan confirms Iran’s response to US proposal to end war Prime Minister Shehbaz Sharif said that he was briefed about receiving Iran's response to the US proposal to end the war.

“Right now, the Field Marshal [Asim Munir] informed me that [we have] received Iran’s response. I cannot go further into details,” the prime minister told the audience at an event to mark Marka-e-Haq in Islamabad.

He also highlighted Pakistan’s mediation role, noting that US and Iran were brought to the negotiating",text,REAL,77.37,22.63,77.37,[],True
1ebbfb3c,2026-05-10 20:07:16,Image Analysis,"Pakistan confirms lran’s response to US proposal to end war By: Web Desk Prime Minister Shehbaz Sharif said that he was briefed about receiving Iran's response to the US proposal to end the war “Right now, the Ficld Marshal [Asim Munir] informed me that [we have] received Iran's response | cannot go further into details,” the prime minister told the audience at an event to mark Marka- c-Haq in Islamabad He also highlighted Pakistan's mediation role, noting that US and Iran were brought to the ne",image,REAL,77.46,22.54,77.46,[],True
5fa8dae1,2026-05-10 21:03:15,Trump says US would need two weeks to hit all Iran targets,"Trump says US would need two weeks to hit all Iran targets US President Donald Trump has said in an interview aired on Sunday that it would only take two weeks to hit ""every single target"" in Iran, adding that the Islamic republic was ""militarily defeated.""

In the interview with independent journalist Sharyl Attkisson, which was recorded last week, he also called Nato a ""paper tiger"" and accused Washington's allies of failing to assist in the campaign against Tehran.

The comments come as Iran ",text,REAL,71.17,28.83,71.17,[],True
1dcaf23a,2026-05-10 21:04:13,Image Analysis,"Sunday May 10 2026 | 08:57 PM Trump says US would need two weeks to hit all Iran targets By: AFP US President Donald Trump has said in an interview aired on Sunday that it would only take two weeks to hit ""every single target"" in Iran, adding that the Islamic republic was ""militarily defeated.” In the interview with independent journalist Sharyl Attkisson, which was recorded last week, he also called Nato a ""paper tiger"" and accused Washington's allies of failing to assist in the campaign agains",image,REAL,71.41,28.59,71.41,[],True
579edf62,2026-05-10 21:07:02,"Any new aggression will have wider consequences, Asim Munir warns enemies of Pakistan","Any new aggression will have wider consequences, Asim Munir warns enemies of Pakistan Chief of Defence Forces Field Marshal Syed Asim Munir said the day marked a moment of pride for the nation as Pakistan commemorated the first anniversary of the Marka-e-Haq (Battle of Truth).

Addressing a ceremony at General Headquarters, CDF Asim Munir said Pakistan had been granted victory by Almighty Allah during the conflict a year ago and had delivered a decisive response to what he described as Indian ag",text,REAL,79.87,20.13,79.87,[],True
df01cd9e,2026-05-10 21:08:53,Field Marshal Asim Munir Claims Pakistan Developed “Invisible Jets” During Marka-e-Haq Anniversary Ceremony,"Field Marshal Asim Munir Claims Pakistan Developed “Invisible Jets” During Marka-e-Haq Anniversary Ceremony RAWALPINDI: Speaking at a highly charged ceremony at General Headquarters, Chief of Defence Forces Field Marshal Syed Asim Munir claimed that Pakistan had secretly deployed “next-generation invisible fighter jets” during the Marka-e-Haq conflict last year.

According to the fictional statement, the aircraft allegedly entered enemy airspace undetected and returned after “confusing enemy rad",text,REAL,77.08,22.92,77.08,[],True
8be6ecca,2026-05-10 21:09:27,Pakistan attached on Iran,Pakistan attached on Iran Pakistan has been launched attack on IRan,text,REAL,75.54,24.46,75.54,[],True
191e3afc,2026-05-10 21:12:03,Image Analysis,"LIVE breakyourownnews.com BREAKING NEWS PAKISTAN ATTACKED ON IRAN PEE ""IS THIS REALLY NEWS?” ASKS COMMENTER | 5 MILLION RETWEETS IN 1 HOUR ALREA",image,REAL,74.35,25.65,74.35,[],True
9b106a11,2026-05-10 21:17:03,Image Analysis,"LIVE breakyourownnews.com BREAKING NEWS PAKISTAN ATTACKED ON IRAN PEE ""IS THIS REALLY NEWS?” ASKS COMMENTER | 5 MILLION RETWEETS IN 1 HOUR ALREA",image,REAL,74.35,25.65,74.35,[],True
